store_code,store_name,chainname,subchainname,storeid,address,city,zipcode,latitude,longitude,average_price_diff,popular_item_count
shu_097,דיל קרית שמונה- מתחם ביג,שופרסל,שופרסל דיל,97.0,מתחם ביג,קרית שמונה,1162401.0,33.19169979999999,35.5707447,-2.833652590214857,7737
shu_098,דיל קרית טבעון- אלונים,שופרסל,שופרסל דיל,98.0,חוצות אלונים,טבעון,3604701.0,32.7146161,35.1252205,-2.9812839066390135,7444
shu_101,שלי הוד השרון- ק מרגלית,שופרסל,שופרסל שלי,101.0,נחליאלי 2,הוד השרון,4535502.0,32.14339427602499,34.892095081057384,5.3781416169732355,7365
shu_102,שלי פרדסיה- הנשיא,שופרסל,שופרסל שלי,102.0,הנשיא 1 צ.פרדסיה,פרדסיה,4281500.0,32.3044377,34.903248,6.520223127148396,7033
shu_103,שלי שוהם- מרכז מסחרי,שופרסל,שופרסל שלי,103.0,מרכז מסחרי,שוהם,6083530.0,31.9991264,34.9472744,5.472073443962254,7318
shu_104,"שלי פ""ת- גד מכנס",שופרסל,שופרסל שלי,104.0,רוטשילד 180,פתח תקווה,9435700.0,32.077118,34.886727,5.29917255058736,5891
shu_105,"דיל פ""ת- אליעזר פרדימן",שופרסל,שופרסל דיל,105.0,אליעזר פרידמן 9,פתח תקווה,4941916.0,32.0798866,34.9023987,-2.95178886659757,7647
shu_106,יוניברס נס ציונה - הפטיש,שופרסל,יוניברס,106.0,"הפטיש 8,א.ת.",נס ציונה,7404730.0,31.9218546,34.7928326,-3.3001591394980467,8490
shu_109,שלי ראש העין- ז'בוטינסקי,שופרסל,שופרסל שלי,109.0,גבעת טל,ראש העין,4857301.0,32.0925903,34.9662017,5.571669544655341,7975
shu_110,"דיל הפארק ב""ש",שופרסל,שופרסל דיל,110.0,20 נחל פרת,באר שבע,,31.2307493,34.8230902,-3.000652611839432,6520
shu_111,יש חסד טבריה עלית-לב האג,שופרסל,יש חסד,111.0,לב האגם 10,טבריה,14431.0,32.7795991,35.51695309999999,-7.322765395395857,4763
shu_113,"דיל ראשל""צ- גולדה מאיר",שופרסל,שופרסל דיל,113.0,גולדה מאיר 1,ראשון לציון,7549050.0,31.967552,34.7852707,-2.588955757557322,7399
shu_114,דילירושלים- גילה,שופרסל,שופרסל דיל,114.0,צביה ויצחק 17,ירושלים,9384014.0,31.73148,35.186812,-2.6094444961987158,8461
