store_code,store_name,chainname,subchainname,storeid,address,city,zipcode,latitude,longitude,average_price_diff,popular_item_count
ampm_401,AM-PMדרך השלום,ampm,AM:PM,401.0,דרך השלום 53,גבעתיים,5345433.0,32.066902,34.803277,7.232595917350461,4761
ampm_402,AM-PMקרית ביאליק,ampm,AM:PM,402.0,נעמי שמר 10,קרית ביאליק,2751419.0,32.8493857,35.1054986,7.494444157119996,5009
ampm_403,AM-PM המושבה הגרמנית,ampm,AM:PM,403.0,בן גוריון 6,חיפה,3541416.0,32.82334041273907,34.99175345298348,7.517876517136167,4559
ampm_404,"AM-PMאח""י אילת חיפה",ampm,AM:PM,404.0,"אח""י אילת 22",חיפה,3541416.0,32.82334041273907,34.99175345298348,7.979495264487081,3873
ampm_501,Am-pm בן יהודה 30,ampm,AM:PM,501.0,בן יהודה 30,תל אביב יפו,6380407.0,32.0760792,34.7682159,7.776733522903079,4004
ampm_503,Am-pm ארלוזרוב,ampm,AM:PM,503.0,דיזנגוף 193,תל אביב יפו,6346232.0,32.0866177,34.7746403,7.434206317019973,4018
ampm_504,Am-pm נורדאו,ampm,AM:PM,504.0,בן יהודה 195,תל אביב יפו,6347312.0,32.0921006,34.7744633,7.569284660090043,5121
ampm_505,Am-pmאלנבי,ampm,AM:PM,505.0,אלנבי 115,תל אביב יפו,6581708.0,32.0624808,34.7736408,7.174467842579591,5301
ampm_506,Am-pm קינג גורג,ampm,AM:PM,506.0,קינג גורג 24,תל אביב יפו,6326709.0,32.0718846,34.7736551,7.63853604557974,4393
ampm_507,Am-pm 24 שנקין,ampm,AM:PM,507.0,שנקין 24,תל אביב יפו,6523132.0,32.0692713,34.7728342,7.542735690447649,4757
ampm_508,Am-pm  אבן גבירול,ampm,AM:PM,508.0,אבן גבירול 14,תל אביב יפו,6407716.0,32.0729348,34.7819905,7.910864648039002,3576
ampm_509,Am-pm זמנהוף,ampm,AM:PM,509.0,קינג גורג 99,תל אביב יפו,6433831.0,32.077532,34.7775964,7.809435868045104,4402
ampm_510,Am-pm לינקולן,ampm,AM:PM,510.0,לינקולן 9,תל אביב יפו,0.0,32.0670307,34.7818233,7.941816709304635,3989
ampm_511,Am-pm  הרצל,ampm,AM:PM,511.0,"הרצל 91,עובר להרצל 114)",תל אביב יפו,6655414.0,32.0549445,34.7709586,7.30950385128914,4453
ampm_512,Am-pm  כל-בו שלום,ampm,AM:PM,512.0,אחד העם 9,תל אביב יפו,6525101.0,32.0640664,34.7696096,6.960656948960101,5614
ampm_513,Am-pm פרנקל,ampm,AM:PM,513.0,פרנקל 15,תל אביב יפו,6608419.0,32.0572752,34.76826740000001,7.319098375312192,4744
ampm_514,Am-pm גורדון,ampm,AM:PM,514.0,דיזנגוף 136,תל אביב יפו,6346109.0,32.0821944,34.7739473,7.333285203845243,4882
ampm_517,"Am-pm זבוטינסקי ר""ג",ampm,AM:PM,517.0,זבוטינסקי 86,רמת גן,5244215.0,32.0879734,34.8144138,7.559545844766009,4606
ampm_518,"Am-pm זבוטינסקי ת""א",ampm,AM:PM,518.0,אבן גבירול 136,תל אביב יפו,6296601.0,32.0883128,34.782656,7.595331204246698,4789
ampm_519,Am-pm נחלת יצחק,ampm,AM:PM,519.0,נחלת יצחק,תל אביב יפו,6744809.0,32.075597,34.799186,7.40679789637124,4866
ampm_524,Am-pm בן יהודה 61,ampm,AM:PM,524.0,בן יהודה 61,תל אביב יפו,3275.0,32.0795508,34.7693743,8.208276923952019,3772
ampm_529,Am-pm בן גוריון,ampm,AM:PM,529.0,בן גוריון 119,בת ים,5956005.0,32.0813031,34.8205539,8.048749383695487,3758
ampm_531,Am-pmכצנלסון גבעתיים,ampm,AM:PM,531.0,כצנלסון 129,גבעתיים,5327314.0,32.0766339,34.8159154,7.295106849779236,4953
ampm_533,Am-pm י.ל פרץ,ampm,AM:PM,533.0,י.ל פרץ 29,תל אביב יפו,6685402.0,32.0593815,34.7759122,8.271358816195168,3487
ampm_534,Am-pm בוגרשוב,ampm,AM:PM,534.0,בוגרשוב 49,תל אביב יפו,6314513.0,32.0760008,34.7717635,7.736205813300984,3780
ampm_535,Am-pm שנקין59,ampm,AM:PM,535.0,שנקין 59,תל אביב יפו,6523313.0,32.0684191,34.7773662,7.584238637692792,3987
ampm_536,Am-pmזבוטינסקי 44,ampm,AM:PM,536.0,זבוטינסקי 44,רמת גן,5248504.0,32.0845621,34.8098643,7.380908525115277,5070
ampm_537,Am-pm סוקולוב הרצליה,ampm,AM:PM,537.0,סוקולוב 10,הרצליה,4649713.0,32.1668362,34.83977369999999,7.459974805065966,4617
ampm_540,Am-pm טברסקי,ampm,AM:PM,540.0,יצחק שדה 35,תל אביב יפו,6721309.0,32.0650742,34.7887382,7.648554117819772,4033
ampm_542,Am-pm שד יהודית,ampm,AM:PM,542.0,שד יהודית 16,תל אביב יפו,6701618.0,32.0699793,34.790122,7.585167340097432,4595
ampm_544,Am-pm ברודצקי,ampm,AM:PM,544.0,ברודצקי 15,תל אביב יפו,6905126.0,32.1065947,34.7973754,7.599403701605219,4672
ampm_545,Am-pm הנשיא הרצליה,ampm,AM:PM,545.0,הנשיא יצחק בן צבי 75,הרצליה,4639975.0,32.180388,34.8114628,7.239534129512607,5393
ampm_548,Am-pm נווה מונסון,ampm,AM:PM,548.0,רחוב השקד 30,יהוד מונוסון,6019000.0,32.0291382,34.873857,7.615531822061672,4692
ampm_549,Am-pm הוד השרון,ampm,AM:PM,549.0,סוקולוב 11,הוד השרון,0.0,32.1623925,34.9024585,7.759853661996212,4808
ampm_551,Am-pm הדר נס ציונה,ampm,AM:PM,551.0,השייטת 4,נס ציונה,7420812.0,31.9306019,34.7918755,7.663952881705355,4235
ampm_554,Am-pm ווינשל,ampm,AM:PM,554.0,וינשל 6,תל אביב יפו,6941331.0,32.1179986,34.8244931,7.3789339160764555,4982
ampm_556,Am- pm עליית הנוער,ampm,AM:PM,556.0,עליית הנוער 27,גבעתיים,5340101.0,32.074846,34.801658,7.444908655032884,5226
ampm_557,Am-pm אבן גבירול 91,ampm,AM:PM,557.0,אבן גבירול 91,תל אביב יפו,6404619.0,32.0849352,34.7815376,8.740581314173015,2330
ampm_558,Am-pm המלכות,ampm,AM:PM,558.0,הרוגי המלכות 9 שיכון דן,תל אביב יפו,6971409.0,32.1096985,34.8335267,7.503032827647092,4793
ampm_560,AMPMיהודה הלוי,ampm,AM:PM,560.0,יהודה הלוי 114,תל אביב יפו,6527614.0,32.0708973,34.7820237,7.709141204311747,4425
ampm_563,Am-pm החשמונאים,ampm,AM:PM,563.0,החשמונאים 105,תל אביב יפו,6713320.0,32.0695981,34.7848105,7.332368658900888,5113
ampm_564,Am-pm אבא הלל,ampm,AM:PM,564.0,אבא הלל 25,רמת גן,5252215.0,32.08706220000001,34.8053883,7.170610651456004,5492
ampm_566,Am-pm קהילת סלוניקי,ampm,AM:PM,566.0,קהילת סלוניקי 11,תל אביב יפו,6951311.0,32.1132571,34.8245566,7.381986670576491,5263
ampm_568,Am-pmאלנבי 69,ampm,AM:PM,568.0,אלנבי 69,תל אביב יפו,6513408.0,32.0677788,34.771245,7.8422797936628905,3939
ampm_570,AMPMהרצל 61,ampm,AM:PM,570.0,הרצל 61,תל אביב יפו,6655101.0,32.0576846,34.77095,8.310382689614071,3070
ampm_571,Am-pmבן גוריון בת ים,ampm,AM:PM,571.0,בן גוריון 47,בת ים,5932204.0,32.0891743,34.82280009999999,8.085478757002118,4191
ampm_576,AMPM ארלוזורוב 52,ampm,AM:PM,576.0,ארלוזורוב 52,רמת גן,5248183.0,32.081034,34.8090555,7.364216647448005,5180
ampm_577,AMPM אלנבי 56,ampm,AM:PM,577.0,אלנבי 56 תל אביב,תל אביב יפו,6382206.0,32.0706039,34.7699812,7.477453592951992,4316
ampm_578,AMPM הקסטל,ampm,AM:PM,578.0,אבן גבירול 161,תל אביב יפו,6203303.0,32.0919612,34.7828125,7.238702580928298,4630
ampm_579,AM-PM הקוממיות 16,ampm,AM:PM,579.0,הקוממיות 16,בת ים,967558.0,32.0070868,34.7412609,7.391511222516197,4758
ampm_580,AM-PM דניה,ampm,AM:PM,580.0,אנטוורפן 56,חיפה,3490101.0,32.7670184,34.9924911,7.674534840419571,3811
ampm_581,Am-pm-העצמאות,ampm,AM:PM,581.0,עצמאות 61,יבנה,3303331.0,31.8651287,34.7441294,7.921336302729711,4357
