store_code,store_name,chainname,subchainname,storeid,address,city,zipcode,latitude,longitude,average_price_diff,popular_item_count
tiv_052,הרצליה,טיב טעם,טיב טעם,52.0,בן גוריון 56 פינת בר כוכבא,הרצליה,4644612.0,32.1579238,34.8419268,6.630933789835342,7291
tiv_056,טופ דן,טיב טעם,טיב טעם,56.0,פנחס רוזן 72,תל אביב יפו,6951294.0,32.1147225,34.8263703,13.28615250390826,3277
tiv_057,"מאז""ה",טיב טעם,טיב טעם,57.0,"מאז""ה 40, ת""א",תל אביב יפו,6521423.0,32.0661436859079,34.7766338817315,12.651194069095789,2765
vic_001,גן-יבנה,ויקטורי,ויקטורי,1.0,הכישור 8,גן יבנה,7080000.0,31.7754364,34.7042045,0.41518600984660514,5828
vic_002,גדרה,ויקטורי,ויקטורי,2.0,פינס 3,גדרה,7056502.0,31.8165241,34.7777441,0.4120984769694901,5629
vic_003,שדרות,קרפור,קרפור היפר,3.0,סמטת הפלדה 3,שדרות,8710446.0,31.5213336,34.5947348,-0.07825230108209737,3884
vic_005,אורנית,ויקטורי,ויקטורי,5.0,הערבה 10,אורנית,4481300.0,32.1298842,34.995119,1.3214344618760303,4808
vic_008,אשדוד,ויקטורי,ויקטורי,8.0,דוד המלך 18,אשדוד,7748109.0,31.7760173,34.6417835,0.4929779465324474,2576
vic_009,הארבעה תא,ויקטורי,ויקטורי,9.0,הארבעה 6,תל אביב יפו,6473906.0,32.0703364,34.7831746,0.7729367566755762,4320
vic_010,לוד,ויקטורי,ויקטורי,10.0,יוספטל 23,לוד,7136823.0,31.9463438,34.8794005,0.1412422133901191,4731
vic_014,בית שמש,ויקטורי,ויקטורי,14.0,הרצל 7,בית שמש,9903113.0,31.7494502,34.987559,0.25820784537659586,4542
vic_016,פלורנטין,ויקטורי,ויקטורי,16.0,סלמה 53,תל אביב יפו,6606034.0,32.0551334,34.7672519,9.021355079603564,2938
vic_021,רמלה הולצברג,ויקטורי,ויקטורי,21.0,שמחה הולצברג 16,רמלה,72276.0,31.9334559,34.8540757,0.25582942748796905,4037
vic_022,חדרה בפארק,ויקטורי,ויקטורי,22.0,משמר הגבול,חדרה,3825104.0,32.4279153,34.93264,0.17030818516231544,4996
vic_023,ראשון פרס נובל,ויקטורי,ויקטורי,23.0,שמעון פרס 33,ראשון לציון,7579932.0,31.9682049,34.763876,0.6561932976979217,3493
vic_024,חדרה בקניון,ויקטורי,ויקטורי,24.0,שד רוטשילד 40,חדרה,3826850.0,32.4376562,34.9216738,0.255105761184991,4031
vic_025,עכו,ויקטורי,ויקטורי,25.0,שלום הגליל 1,עכו,2455301.0,32.9201965,35.0929603,0.11418156798649805,5439
vic_026,ראש העין,ויקטורי,ויקטורי,26.0,שבזי 26,ראש העין,4802126.0,32.0965466,34.9428615,0.5610398094753525,5412
