store_code,store_name,chainname,subchainname,storeid,address,city,zipcode,latitude,longitude,average_price_diff,popular_item_count
ampm_401,AM-PMדרך השלום,ampm,AM:PM,401.0,דרך השלום 53,גבעתיים,5345433.0,32.066902,34.803277,7.687348876639426,4641
ampm_402,AM-PMקרית ביאליק,ampm,AM:PM,402.0,נעמי שמר 10,קרית ביאליק,2751419.0,32.8493857,35.1054986,7.885052766757102,4875
ampm_403,AM-PM המושבה הגרמנית,ampm,AM:PM,403.0,בן גוריון 6,חיפה,3541416.0,32.82334041273907,34.99175345298348,7.964455494254406,4380
ampm_404,"AM-PMאח""י אילת חיפה",ampm,AM:PM,404.0,"אח""י אילת 22",חיפה,3541416.0,32.82334041273907,34.99175345298348,8.322381903883986,3658
ampm_501,Am-pm בן יהודה 30,ampm,AM:PM,501.0,בן יהודה 30,תל אביב יפו,6380407.0,32.0760792,34.7682159,8.155134887998013,3917
ampm_503,Am-pm ארלוזרוב,ampm,AM:PM,503.0,דיזנגוף 193,תל אביב יפו,6346232.0,32.0866177,34.7746403,8.23984155138406,3387
ampm_504,Am-pm נורדאו,ampm,AM:PM,504.0,בן יהודה 195,תל אביב יפו,6347312.0,32.0921006,34.7744633,7.983620062053711,4952
ampm_505,Am-pmאלנבי,ampm,AM:PM,505.0,אלנבי 115,תל אביב יפו,6581708.0,32.0624808,34.7736408,7.63172224639551,5051
ampm_506,Am-pm קינג גורג,ampm,AM:PM,506.0,קינג גורג 24,תל אביב יפו,6326709.0,32.0718846,34.7736551,8.017448138964518,4250
ampm_507,Am-pm 24 שנקין,ampm,AM:PM,507.0,שנקין 24,תל אביב יפו,6523132.0,32.0692713,34.7728342,7.891607862004927,4659
ampm_508,Am-pm  אבן גבירול,ampm,AM:PM,508.0,אבן גבירול 14,תל אביב יפו,6407716.0,32.0729348,34.7819905,8.273516586043627,3566
ampm_509,Am-pm זמנהוף,ampm,AM:PM,509.0,קינג גורג 99,תל אביב יפו,6433831.0,32.077532,34.7775964,8.208416006481357,4267
