store_code,store_name,chainname,subchainname,storeid,address,city,zipcode,latitude,longitude,average_price_diff,kashi_item_count
shu_181,דיל אשקלון- רמז,שופרסל,שופרסל דיל,181,דוד רמז 39,אשקלון,7853339,31.668009,34.5827367,-3.798945946,3316
shu_182,יוניברס דימונה- גולדה מאיר,שופרסל,יוניברס,182,גולדה מאיר 1,דימונה,86000,31.074295,35.032371,-4.962511903,3341
shu_183,דיל אשדוד- הרצל,שופרסל,שופרסל דיל,183,1 רח' הרצל,אשדוד,7745401,31.7936909,34.6408942,-4.154517769,3124
shu_184,"דיל ראשל""צ- זבוטינסקי",שופרסל,שופרסל דיל,184,זבוטינסקי 16,ראשון לציון,,31.9615072,34.800662,-3.972008432,2934
shu_186,אקספרס התשבי,שופרסל,שופרסל אקספרס,186,התשבי 9,חיפה,0,32.8160125,34.9778335,11.35675564,1941
shu_187,דיל קניון מעלה אדומים,שופרסל,שופרסל דיל,187,דרך קדם 5,מעלה אדומים,0,31.77153522,35.29840181,-3.881224534,3339
shu_188,דיל ירוחם- צבי בורנשטיין,שופרסל,שופרסל דיל,188,צבי בורנשטין,ירוחם,8050000,30.9883432,34.9272665,-4.089546609,2703
shu_189,דיל פרדס חנה,שופרסל,שופרסל דיל,189,14 רחוב הבנים,פרדס חנה כרכור,0,32.4728028,34.9742001,-4.08335523,3046
shu_190,דיל חצור- הגלילית,שופרסל,שופרסל דיל,190,קניון גליל עליון,חצור,1030000,32.9813889,35.5561111,-3.948576461,3071
shu_193,"שלי ראשל""צ- מזרח",שופרסל,שופרסל שלי,193,שד' יעקב 50,ראשון לציון,7550903,31.9590813,34.8020886,5.310273114,2623
shu_195,יוניברס קריון- דרך עכו,שופרסל,יוניברס,195,דרך עכו  192,קרית ביאליק,2723211,32.84276982,35.09225065,-5.12308698,2754
shu_199,דיל בת ים- בלפור,שופרסל,שופרסל דיל,199,בלפור 25,בת ים,0,32.0290122,34.745195,-3.573431952,2728
shu_203,יוניברס רמלה לוד- הצופית,שופרסל,יוניברס,203,הצופית 40,רמלה,0,31.932199,34.8890965,-4.833822354,3437
shu_205,יוניברס יהוד- אלטלף,שופרסל,יוניברס,205,אלטלף 4 א.ת יהוד,יהוד מונוסון,5621604,32.0257949,34.9009857,-5.312466682,2646
shu_207,יש אור יהודה - אליהו סעדו,שופרסל,יש בשכונה,207,אליהו סעדון 128,אור יהודה,6039727,32.0257793,34.859212,-4.688231214,1471
shu_209,דיל אשקלון- רוטשילד,שופרסל,שופרסל דיל,209,אדמונד רוטשילד 8,אשקלון,7822602,31.68785387,34.57894651,-4.397796248,2582
shu_210,"יוניברס ראשל""צ- שמוטקין",שופרסל,יוניברס,210,שמוטקין 30,ראשון לציון,7536333,31.9764175,34.8121871,-5.093029901,2737
shu_211,יוניברס כרמיאל- אזור התעשיה,שופרסל,יוניברס,211,א.ת חוצות כרמיאל,כרמיאל,2165006,32.9290162,35.32564143,-5.406951558,2703
shu_212,שלי חיפה- ורדיה,שופרסל,שופרסל שלי,212,ורדיה 10,חיפה,3465710,32.7949865,34.9963889,6.518234838,3210
shu_214,יוניברס קרית גת- מלכי ישראל,שופרסל,יוניברס,214,מלכי ישראל 178,קרית גת,8205002,31.60349333,34.75683013,-5.112297639,2710
shu_215,דיל בית שאן-ירושלים הבירה,שופרסל,שופרסל דיל,215,ירושלים הבירה,בית שאן,10900,32.4953548,35.4972484,-4.202659146,2734
shu_216,שלי הוד השרון,שופרסל,שופרסל שלי,216,2 הנשיאים,הוד השרון,0,32.16455867,34.90719852,6.620400894,3120
shu_218,יוניברס עפולה- יצחק רבין,שופרסל,יוניברס,218,שד' יצחק רבין 5,עפולה,1834171,32.6229362,35.3154373,-4.989306031,3392
shu_219,יש חסד בני ברק- עזרא,שופרסל,יש חסד,219,עזרה בני ברק,בני ברק,5155103,32.07937036,34.83843575,-14.42214535,1806
