store_code,store_name,chainname,subchainname,storeid,address,city,zipcode,latitude,longitude,average_price_diff,kashi_item_count
car_3740,מרקט אפרידר אשקלון,קרפור,קרפור מרקט,3740.0,5 שדרות ירושלים,אשקלון,761719.0,31.6778055,34.5753127,-0.5435186016383394,1463
car_3850,סיטי בית הכרם ים,קרפור,קרפור סיטי,3850.0,אבי זהר,ירושלים,9626701.0,31.7753984,35.1875994,13.019902193691202,1999
car_3990,סיטי תל ברוך תא,קרפור,קרפור סיטי,3990.0,8 בקר,תל אביב יפו,6464316.0,32.1227035,34.816677,12.643078824475488,1860
car_400,רפור סיטי קניון כפר סבא (1030),קרפור,קרפור סיטי,400.0,כצנלסון 20,כפר סבא,4440522.0,32.17866029246674,34.90361539912085,4.809521188555085,2735
car_401,קרפור סיטי הוד השרון,קרפור,קרפור סיטי,401.0,שלום עליכם 1,הוד השרון,4500901.0,32.15934863573798,34.887957125952326,4.6091344409172885,2567
car_402,קרפור סיטי דיזנגוף,קרפור,קרפור סיטי,402.0,דיזנגוף 65,תל אביב יפו,6433237.0,32.07590257397277,34.774601381768896,1.6089404673742358,2893
car_403,קרפור סיטי הצרכנייה רמלה,קרפור,קרפור סיטי,403.0,שדרות הרצל 45,רמלה,7240613.0,31.931969207144462,34.869324564567385,-7.6098608529099145,2346
car_405,קרפור סיטי נווה כרמית,קרפור,קרפור סיטי,405.0,זבוטינסקי 65,ארשון לציון,7521819.0,31.966792099340918,34.799095807509204,4.9923696681959315,2658
car_406,קרפור סיטי מכבים (1150),קרפור,קרפור סיטי,406.0,מ.מסחרי רננים מכבים,רעות-מכבים,7176538.0,31.89200775058172,35.03370919986499,4.713617863491966,2579
car_407,קרפור בעיר חפץ חיים,קרפור,קרפור סיטי,407.0,הרצל 28,רחובות,4943519.0,31.881655487737174,34.81784746742578,5.2333770085957445,2829
car_408,קרפור סיטי צמרות,קרפור,קרפור סיטי,408.0,ניסים אלוני,תל אביב יפו,6291924.0,32.08899725592976,34.797171246061765,5.613809837171153,2838
car_411,קרפור סיטי מגדלי דוד,קרפור,קרפור סיטי,411.0,אורי 12,תל אביב יפו,6495410.0,32.08148226444495,34.78546305293324,4.987775937087716,2682
car_4110,קרפור מרקט לב הרצליה,קרפור,קרפור מרקט,,בן גוריון 2,הרצליה,4678501.0,32.1666234,34.8422973,3.3797146898429435,1827
car_4120,מגה הדר הרצליה,קרפור,מגה,,2 הדר,הרצליה,4629025.0,32.16757451108522,34.849346267566425,13.05254265443794,1653
car_413,קרפור סיטי מגדלי דוד,קרפור,קרפור סיטי,413.0,קפלן 13,קרפור סיטי בילינסון פתח תקווה,4943712.0,32.088539758490725,34.86884250600394,4.253460130061232,2569
car_4130,סיטי נווה אמירים,קרפור,קרפור סיטי,4130.0,82 בן גוריון,הרצליה,4644630.0,32.1545039,34.8421088,12.841840094338286,1911
car_414,קרפור סיטי מעוז אביב,קרפור,קרפור סיטי,414.0,בני אפרים 209,תל אביב יפו,6998421.0,32.111225011416536,34.81612726827828,5.065553463306737,2218
car_415,קרפור סיטי רמת אביב,קרפור,קרפור סיטי,415.0,אבא אחימאיר 35,תל אביב יפו,6949219.0,32.12482529093308,34.80448503759174,5.097153895135444,2822
car_4150,סיטי הרצליה פיתוח,קרפור,קרפור סיטי,4150.0,34 זהר טל,הרצליה,4674134.0,32.1708537,34.8028265,13.687579247987886,1241
car_416,קרפור היפר שדרות,קרפור,קרפור היפר,416.0,קניון פנינת הנגב שדרות,שדרות,8714517.0,31.52869307851911,34.60617883964183,-11.987501901689575,3000
car_4160,סיטי נוף ים הרצליה,קרפור,קרפור סיטי,4160.0,10 שער הים,הרצליה,4660610.0,32.1879828,34.8128297,12.780050847146804,993
car_4170,מגה נוה עמל,קרפור,מגה,4170.0,19 כצנלסון,הרצליה,4629010.0,32.16909877756077,34.85627551781642,13.122770243834141,1371
car_4200,סיטי זרובבל ר.השרון,קרפור,קרפור סיטי,4200.0,33 סוקולוב,רמת השרון,4723602.0,32.141958,34.8365545,12.958874847365031,1437
car_4220,סיטי נס ציונה,קרפור,קרפור סיטי,4220.0,1 אבנר בן נר,נס ציונה,7422018.0,31.9220671,34.8099931,12.636628344270395,1719
car_4270,קרפור מרקט אלעד,קרפור,קרפור מרקט,,בן זכאי 32,אלעד,4080041.0,32.0475883,34.9556007,-1.1623857577409369,1457
car_4280,מרקט אודיטוריום חיפה,קרפור,קרפור מרקט,4280.0,134 שדרות הנשיא,חיפה,3464502.0,32.8032646,34.9858779,0.7950120729416474,1848
car_4420,מגה אואזיס רמת גן,קרפור,מגה,,87 הרצל,רמת גן,5244346.0,32.087926882504064,34.81447435036713,11.616328349378078,1652
car_470,קרפור סיטי מגדלי כרמל,קרפור,קרפור סיטי,470.0,חנה סנש 20,חיפה,3385401.0,32.80119205548193,34.99636820693629,9.810082261582389,2031
car_493,"מגה הרוא""ה ר""ג",קרפור,מגה,493.0,"2 הרוא""ה",רמת גן,5243201.0,32.08362050582349,34.816014094546404,4.38576446448095,2194
car_515,"מגה רווה ר""ג - חדש",קרפור,מגה,515.0,113 עוזיאל,רמת גן,5234439.0,32.06848391881082,34.82197887252382,4.123985501102918,2550
car_5204,קוויק כפר סבא,קרפור,קוויק,5204.0,,כפר סבא,,32.17352634870429,34.89124840690674,16.220391860875655,505
car_523,מגה דימונה,קרפור,מגה,,1 הנשיא,דימונה,8603401.0,31.069419,35.033363,3.992586925427629,2400
car_5304,כפא סבא @ קרפור,קרפור,קרפור,, כפר סבא,כפר סבא,4450012.0,32.1862357,34.9044103,3.9731044563203235,1824
car_558,סיטי רמת החייל תא,קרפור,קרפור סיטי,558.0,7 ד.מ. מרכוס,תל אביב יפו,6988213.0,32.1141968,34.8356933,6.242030557416864,2369
car_580,סיטי עמק הברכה,קרפור,קרפור סיטי,580.0,עמק הברכה,תל אביב יפו,6745613.0,32.076308,34.7989587,3.7811783061548545,2290
car_610,סיטי באר שבע,קרפור,קרפור סיטי,610.0,42 שדרות י-ם,באר שבע,8477116.0,31.24748704184297,34.780067818357125,3.9576135252171354,2206
car_620,סיטי נתניה,קרפור,קרפור סיטי,620.0,29 ירושלים,נתניה,4230317.0,32.3242633652502,34.8550983080518,3.661730680283634,2170
car_698,סיטי בית אבות רמת א,קרפור,קרפור סיטי,698.0,2 שד.הארזים,רמת אפעל,5290366.0,32.0518163,34.8366946,2.9956151341108326,1501
car_701,סיטי קרית אונו,קרפור,קרפור סיטי,701.0,57 הנשיא,קרית אונו,5557057.0,32.0605508,34.8559181,3.796130432253426,1990
car_752,מגה רמת אפעל מרכז מ,קרפור,מגה,,16 שד.האורנים,רמת אפעל,5290350.0,32.047236,34.835859,4.5324887915296115,2629
car_820,מגה מרכז רעננה- חדש,קרפור,מגה,,114 אחוזה,רעננה,4345015.0,32.1818726,34.8699162,4.684617306128147,2314
